127.0.0.1 - - [30/Jun/2020:23:24:51 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/index.html HTTP/1.1" 200 15269
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/style.css HTTP/1.1" 200 75497
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/img/core-img/hotellogo.png HTTP/1.1" 200 9451
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/js/popper.min.js HTTP/1.1" 200 20611
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/js/bootstrap.min.js HTTP/1.1" 200 55775
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/js/roberto.bundle.js HTTP/1.1" 200 223935
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/js/default-assets/active.js HTTP/1.1" 200 9976
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/img/core-img/logof.png HTTP/1.1" 200 10857
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/bootstrap.min.css HTTP/1.1" 200 153182
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/animate.css HTTP/1.1" 200 57095
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/default-assets/classy-nav.css HTTP/1.1" 200 15526
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/owl.carousel.min.css HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/style.css HTTP/1.1" 200 25237
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/bootstrap-datepicker.min.css HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:52 +0700] "GET /OnlineHotelBooking/css/jquery-ui.min.css HTTP/1.1" 200 16930
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:53 +0700] "GET /OnlineHotelBooking/css/fonts/ElegantIcons.eot? HTTP/1.1" 200 59572
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:53 +0700] "GET /OnlineHotelBooking/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:53 +0700] "GET /OnlineHotelBooking/img/bg-img/1.jpg HTTP/1.1" 200 407224
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:53 +0700] "GET /OnlineHotelBooking/img/bg-img/16.jpg HTTP/1.1" 200 178493
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:53 +0700] "GET /OnlineHotelBooking/img/bg-img/17.jpg HTTP/1.1" 200 277247
0:0:0:0:0:0:0:1 - - [30/Jun/2020:23:24:53 +0700] "GET /OnlineHotelBooking/img/bg-img/18.jpg HTTP/1.1" 200 304225
